,Bo.,No., ,,Name,Bdld,Gr,Typ,FED,Rtg,Club/City,Pts.,Result,Pts.,,Name,Bdld,Gr,Typ,FED,Rtg,Club/City, ,No.
110,111,353,,,Hymeswara Rao B,,,S55,IND,0,Andrapradesh,0,0 - 1,0,,Abhishek J R,,,,IND,1313,Tn,,105
111,112,106,,,Sai Kiran G V,,,,IND,1312,Tn,0,1 - 0,0,,Inukonda Shanmukh Lakshmi Narayan,,,U09,IND,0,Andrapradesh,,354
112,113,355,,,Jatin Sai Vuppala,,,U09,IND,0,Tg,0,0 - 1,0,,Narayan Iyengar,,,,IND,1307,Tn,,107
113,114,108,,,Haridev S,,,U13,IND,1305,Tn,0,1 - 0,0,,Jayanth Eswar Karrothu,,,U11,IND,0,Andrapradesh,,356
114,115,357,,,Jithendra Reddy Sana,,,U15,IND,0,Andrapradesh,0,0 - 1,0,,Sreenivasulu P V,,,,IND,1304,Ap,,109
115,116,110,,,Dhyaan S Nayak,,,,IND,1299,Ka,0,1 - 0,0,,Jithin Napa,,,U09,IND,0,Tn,,358
116,117,359,,,Juluru Bhanu Karthikeya,,,U09,IND,0,Andrapradesh,0,0 - 1,0,,Surendiraa A Sathish,,,,IND,1297,Tn,,111
117,118,112,,,Udaya Bhaskara Rao Anala,,,S55,IND,1292,Ap,0,1 - 0,0,,Juluru Mokshagna,,,U13,IND,0,Andrapradesh,,360
118,119,361,,,Kakkalapalli Hima Sai Srinivas,,,U13,IND,0,Andrapradesh,0,0 - 1,0,,Prasanth Bhuvan Krishna,,,U11,IND,1288,Ka,,113
119,120,114,,,Kiruthika B,,W,,IND,1287,Tn,0,1 - 0,0,,Kamatchi Rajeeth,,,U13,IND,0,Ka,,362
120,121,363,,,Kamireddy Sreekar Praneeth Reddy,,,,IND,0,Andrapradesh,0,0 - 1,0,,Kolla Bhaavan,,,U11,IND,1285,Ap,,115
121,122,116,,,Kumar T V,,,,IND,1282,Tn,0,1 - 0,0,,Kanta Alekhya,,,F13,IND,0,Andrapradesh,,364
122,123,365,,,Kanta Avinash,,,U15,IND,0,Andrapradesh,0,0 - 1,0,,Chandra Babu G,,,,IND,1278,Ap,,117
123,124,118,,,Pavan Anand S,,,U15,IND,1276,Tn,0,1 - 0,0,,Kanuri Sai Saathvik,,,U11,IND,0,Andrapradesh,,366
124,125,367,,,Katta Thrishank Koti,,,U13,IND,0,Andrapradesh,0,0 - 1,0,,Seetasagar Konaparthi,,,U13,IND,1276,Ap,,119
125,126,120,,,Sreekanth Thimmugari,,,,IND,1276,Ap,0,½ - ½,0,,Kaviya B,,,F11,IND,0,Tn,,368
126,127,369,,,Keerthana Bandi,,,F09,IND,0,Andrapradesh,0,0 - 1,0,,Nishad A,,,,IND,1274,Kl,,121
127,128,122,,,Jaswanth Chowdary Vemana,,,U15,IND,1273,Ap,0,1 - 0,0,,Kolla Charvi Sri,,,F09,IND,0,Andrapradesh,,370
128,129,371,,,Kolliboyina Venkata Dinesh,,,U15,IND,0,Andrapradesh,0,0 - 1,0,,Swarnamala B,,W,,IND,1273,Tn,,123
129,130,124,,,Akshaj Reddy Malgireddy,,,U09,IND,1270,Ka,0,1 - 0,0,,Komalla Manyu Sai,,,U13,IND,0,Andrapradesh,,372
130,131,373,,,Kona Venkat Charan,,,,IND,0,Andrapradesh,0,0 - 1,0,,Rajapalem Veera Bhagatheswar Reddy,,,U13,IND,1269,Ap,,125
131,132,126,,,Jayakrishna H,,,,IND,1268,Tn,0,1 - 0,0,,Kranthi Kukudala,,W,,IND,0,Tg,,374
132,133,375,,,Lakkapo Keerthi Swaroop,,,U13,IND,0,Andrapradesh,0,1 - 0,0,,Mithilesh P,,,U09,IND,1265,Ap,,127
133,134,128,,,Ajjesh J R,,,U15,IND,1261,Tn,0,1 - 0,0,,Lakshmanan Natesan,,,U07,IND,0,Tn,,376
134,135,377,,,Lakshmi Durga Vijay Samayamantri,,,,IND,0,Andrapradesh,0,1 - 0,0,,Dada Afrid Chitrachedu,,,,IND,1261,Ap,,129
135,136,130,,,Chandrasekar N Krishna Pillai,,,,IND,1259,Ap,0,1 - 0,0,,Lasya Priya Anubham,,,F11,IND,0,Tn,,378
136,137,379,,,Leela Kumar P,,,,IND,0,Andrapradesh,0,0 - 1,0,,Andalamala Hemal Varshan,,,U09,IND,1258,Ap,,131
137,138,132,,,Lakshanaa R,,,F15,IND,1258,Tn,0,1 - 0,0,,Leela Sai M,,,,IND,0,Andrapradesh,,380
138,139,381,,,Likhith N V,,,U15,IND,0,Andrapradesh,0,0 - 1,0,,Rakshith M,,,U15,IND,1253,Tn,,133
139,140,134,,,Nilesh Dashrath Bande,,,,IND,1250,Mh,0,1 - 0,0,,Madhiguntla Venkata Rahul,,,U15,IND,0,Andrapradesh,,382
140,141,383,,,Mahalakshmi Vallepu,,,F13,IND,0,Andrapradesh,0,0 - 1,0,,Guna Sekhar G (Chittoor),,,,IND,1249,Ap,,135
141,142,136,,,Prasada Rao G,,,S55,IND,1248,Ap,0,1 - 0,0,,Maniam Kayal,,,F07,IND,0,Tn,,384
142,143,138,,,Cherukuri Naga Sri Vardhan Chowdary,,,,IND,1245,Ap,0,1 - 0,0,,Manjula N,,,S55,IND,0,Andrapradesh,,386
143,144,387,,,Manojkumar Kuppusamy,,,,IND,0,Tn,0,0 - 1,0,ACM,Balanandan Ayyappan,,T,U09,IND,1244,Kl,,139
144,145,140,,,Sriram Pandi S P,,,U13,IND,1242,Tn,0,1 - 0,0,,Mansoor Duvvuru,,,,IND,0,Andrapradesh,,388
145,146,389,,,Medhas Raman,,,U11,IND,0,Andrapradesh,0,0 - 1,0,,Saravana Vel R,,,,IND,1241,Tn,,141
146,147,142,,,Dissanayake D M Madushan Sameera,,,,SRI,1239,Sri Lanka,0,1 - 0,0,,Meghasyam Sai Gajula,,,U13,IND,0,Andrapradesh,,390
147,148,391,,,Mithran Krishnakumar,,,U11,IND,0,Tn,0,1 - 0,0,,Manikandan S M,,,,IND,1236,Tn,,143
148,149,144,,,Talla Nischal,,,U13,IND,1236,Ap,0,+ - -,0,,Mokshagna Chinta Gumpala,,,U15,IND,0,Tg,,392
149,150,393,,,Mokshitha Reddy N V S,,,F11,IND,0,Andrapradesh,0,0 - 1,0,,Varshini N,,W,,IND,1233,Ap,,145
