Name,FideID,Rtg
dummy,dummy,dummy
"Haag,Rolf",1325078,1770
"Vollmer,Andreas",24679321,1770
"Krisin,Joachim",34627537,1768
"Brunschwyler, André",,1764
"Dumont,Vincent",206199,1763
"Pantillon,Patrick Andre",1313266,1762
"Röhrig,Uwe",24674400,1757
"Borries,Barbara",24611891,1749
"Weverling,Ferry",1020820,1749
"Scharler,Walter",1609793,1748
"Kerr,Grant",4305620,1741
"De Witte,Wiebe",1074555,1740
"Bernard,Christopher",447447,1737
"Ring,Rudolf",1633007,1732
"Klaiber,Georg",,1730
"Stronk,Klaus",16292375,1726
"Bauer,Dieter",4667751,1714
"Becker,Ralph",12915386,1701
"Offergeld,Detlef",24696498,1694
"Ahrens,Gunnar",12914177,1691
"Bekkesletten,Cato",1517821,1675
"Schilling,Hans",24679860,1675
"Schmitz,Paul",4628748,1672
"Engau,Fritz",12972967,1670
"Pape,Michael",12970689,1657
"Catalano,Enzo",12955990,1655
"Hirn,Thomas",16209990,1654
"Mencke,Hans-Jürgen",4607279,1648
"Gerlach,Andreas,Dr.",12962945,1647
"Fritzsche,Jürgen,Dr.",34621059,1644
"Britschgi,Carmen",4667034,1637
"Paetzel,Hans",,1637
"Steiger,Peter",1330780,1629
"Gilbert,David J",425354,1627
"Loeffler,Helmut",1317482,1627
"Nadler,Bernhard",1326392,1617
"Weimann,Jörg",,1609
"Krause,Helmut",16219490,1606
"Hahn,Georg",12946664,1604
"Magnusson,Gisli",1437330,1602
"Maheux,Pierre",2613760,1597
"Freier,Bernd",16247060,1589
"Externbrink,Uwe",16249046,1585
"Krause,Marianne",16219600,1583
"Frischknecht,Ralf",16224949,1581
"Friden,Jan",1745921,1580
"Potschies,Jürgen",12995568,1572
"Marocsik,Ferenc",16270819,1571
"Mulder,Ben",1046640,1565
"Madden,Jason",426741,1559
"Baumgarten,Otto",16277147,1558
"Proudfoot,Andy",487910,1558
"Schumann,Wolfgang",1271595,1541
"Auer,Max",1661965,1528
"Wagener,Martin",16272331,1522
"Hebenstreit,Heinz",1636120,1521
"Peach,Clifford",,1518
"Hüttinger,Siegfried",12959200,1510
"Kunze,Manfred",24638960,1510
"Erwich,Ankie",1027859,1496
"Obmann,Thomas",1658018,1487
"Wilske,Guido",12997668,1483
"Leferink,Toine",1055330,1454
"Heid,Magdalene",16276957,1439
"Bolduc,Jacques",2624010,1410
"Tatam,Anthony",429473,1389
"Rouw,Cees",1046659,1359
"Beddegenoodts,Marc",250155,1354
"Hebenstreit,Walter",1648616,1274
"Levier,Jean-Francois",20601646,1249
"Batschelet, Ernst",,1243
Preobrazhenskaya Diana,34270566,1994
Ismayilova Khanim,13429019,1901
Kaliakhmet Elnaz,13730169,1864
Aravindakshan Sahana,30984440,1776
Mgeladze Kesaria,13621130,1771
Yousefian Maedeh,22568670,1765
Goriachkina Oksana,34203214,1748
Garcia Rodriguez Laia,54732565,1742
Shubhi Gupta,25195425,1733
Negre Emilie,45187223,1722
Merkulova Victoria,34307079,1715
Alfano Emilie,45149844,1712
Haasova Timea,14960109,1707
Huseynova Lala,13431781,1702
Beber Anja,14642255,1674
Maklakova Naomi,11617748,1635
Kozusnikova Daniela,23729279,1597
Misheel Bold,4921232,1593
Li Anna Sofie,1472119,1590
Shreya G Hipparagi,25743953,1574
Huseynli Ayan,13436503,1572
Saparya Ghosh,25771280,1563
Ferrer Naranjo Liennys,3530086,1558
Gan Emily Cathay,4310608,1550
Kiss Inez,17004306,1544
Sida Flavia-Maria,1261223,1529
Bauer Laura Sophie,16253647,1506
Fawaz Nadia,5309743,1500
Derlich Sarah Sima,1469290,1490
Aydogan Arya,26390574,1489
Krkyasharyan Sona,13316729,1484
Imomkuzieva Nilufarkhon,14216736,1481
Pereira Garza Cecilia,1078984,1474
Hariharan Shambavi,488160,1465
Vlasova Mariya N,34370730,1456
Kalandadze Mariam,13621122,1452
Cara Romeo Lavinia,2873147,1447
Sezdbekova Aizhan,13803590,1447
Abramkina Veranika,13526669,1445
Vizcarra Quispe Ramalia Bellaluz,3840255,1429
Assylkhan Asiya,13752707,1424
Kholyavko Mariya,13748505,1421
Mihailovic Selena,9209675,1414
Khafizova Diana,34378049,1411
Sivashankar Samyukta,4006534,1406
Kim Sarang,13212834,1402
Urangoo Gurvanbaatar,4919114,1391
Zarkym Ailin,13753207,1376
Altynbek Aiaru,13752472,1373
Tynyshtyk Diana,13726471,1373
Margad Munkhpurev,4910222,1372
Sordia Marta,13626540,1363
Shimanskaia Tatiana,34473580,1353
Semenova Vasilisa,34336060,1332
Koghuashvili Tekla,13621564,1331
Silva Juliana Figueira Theophilo,22781684,1328
Rathnayake R M Dulinma Hemalni,29953707,1321
Mateeva Yana,2935600,1306
Enkhuyanga Gantsolmon,4905520,1301
Danielyan Lilia,13319841,1299
Zarkua Anastasia,13623869,1294
Celik Fatma Nisa,26315300,1291
Zhumagali Raian,13730150,1278
Kong Emma Zihan,1805940,1270
Belaya Liliya,14223830,1266
Koscelnikova Monika,14967073,1265
Valiyeva Asnad,13436929,1265
Kocharyan Sona,13317300,1259
Barazovsky Tamar,2845318,1250
Kirthika B,25981323,1247
Ashotia Barbare,13625187,1242
Shubitidze Barbare,13633350,1234
Aadya Gupta,25778293,1230
Gikandi Bernice Wambui,10825606,1229
Tulekenova Aiza,13763881,1220
Hong Jueun,13212702,1218
Browning Sena,13215868,1211
Diloyan Angelina,13319167,1207
Durga Karthika Lellapalli,25130889,1203
Cumacenko Saule,12835560,1169
Vakali Elli,25882309,1148
Alakbarli Inji,13431560,1147
Kush Agniya,13810103,1131
Pritulina Nadezhda,4510259,1125
Skhirtladze Barbare,13634054,1122
Nahapetyan Ani,13317776,1117
Hamadeh Sally,5312671,1096
Tsivtsivadze Nini,13628496,1063
Shin Chaeyoon,13211986,1062
Deysel Hannah,14341670,1036
Chiosa Elena,13910191,1027
Skamaroshchanka Daryia,13520580,1026
Abibulla Zhansaya,13761510,0
Bhatia Kanishka,2410095,0
Hephzibah Awura-Ama Manubea Tandoh,12602612,0
Khimshiashvili Anano,13636960,0
Laksshana Deepak,25980548,0
Lemonjava Elena,13636774,0
Rejepova Jahan,14006480,0
Tsatsiashvili Mariam,13630318,0
Tsirkel Emma,2843684,0
Li Iris,30975026,1651
Bassari Senem Gul,26363704,1536
Fang Arabella,30985889,1505
Venskaya Nika,13523503,1470
Mirzakhani Bahar,32735200,1461
Artamonova Ulyana,34345752,1449
Sunea Sara Maria,1288989,1440
Siskou Evangelia,42113938,1421
Xu Luna Yuexiu,4317360,1421
Chovanec Alice,30980836,1414
Alessi Clio,28551729,1413
Wadhwa Ananya,30981433,1411
Ejsymont Blanka,21088268,1410
Pehlivanova Aleksandra,2944375,1406
Kharitonova Viktoriia,34354310,1403
Noorinezhad Nafas,42557429,1400
Hu Ruyi,30991331,1399
Rajlic Irina,9204789,1397
Sreekarthika Velmurugan,25996045,1380
Qian Ashley,2636280,1350
Zhang Ellery,39900959,1348
Chen Shuang,2640562,1339
Berezovskaya Arina,34449850,1336
Hanya Shah,25186388,1336
Janouskova Eliska,23715553,1330
Kovalenko Taisiya,34486313,1317
Redina Ekaterina,34359036,1316
Tolmaceva Alona,11622938,1310
Moldagali Akerke,13761781,1287
Kedelidze Aneta,13626191,1263
Rzadkowska Kaja,21083061,1258
Igoshkina Anna,34246282,1256
Sahin Zeynep Duru,51606550,1255
Amanzhol Khanzada,13743171,1241
Tong Thai Hoang An,12419230,1238
Kutateladze Anastasia,13631403,1231
Harutyunyan Gabriela,13319604,1228
Omirserik Alima,13743570,1224
Zavivaeva Kristina,34351914,1222
Chichinadze Anastasia,13634810,1220
Zhakypova Nuraim,13816381,1212
Bajyrly Dilara,34431438,1204
Gondekova Emma,14971631,1203
Diaskyzy Daliya,13744950,1199
Aadya Ranganath,25991426,1184
Pribylla Amelia,267511,1184
Hwang Yerin,13211390,1183
Tripurambika V,25168800,1183
Mungal Zoey,14341654,1179
Bakhshizada Asnad,13446037,1170
Grigalashvili Mariam,13634127,1165
Sabyrbekova Aizhan,13810294,1164
Maliush Alisa,13524461,1159
Xikmatkhonova Mokhinur,14218704,1158
Gaer Sofiya Ig,55651569,1157
Torun Selin,26364204,1156
Baruch Amit,2849771,1153
Berikkyzy Aiaru,13762303,1152
Dumitru Rucsandra Sofia,42204011,1151
Ramakrishnan Veda,16269519,1140
Gulishyan Eseniya,34401687,1138
Advika Vinai,5829224,1133
Varon Alma,2851482,1130
Chiokadze Barbare,13634496,1120
Meshkova Aleksandra,517496,1116
Abylaikyzy Bibissara,13740024,1104
Mamakova Aknur,13764322,1097
Akuratiya A G Hansadie Ara,9999949,1090
Bakhishova Maryam,13441094,1072
Dabrowska Ewa,21085390,1067
Zavivaeva Angelina,34351906,1038
Shonia Barbare,13632698,1033
Tileuzhan Aizhan,13791460,1028
Abrorova Zaynura,14211998,0
Anu Bayart-Uchral,4908880,0
Avetisyan Araks,13320858,0
Bakhtadze Nia,13634445,0
Borgoiakova Ailana,1679090,0
Buyankhishig Batpelden,4923537,0
Chakchouk Kenza,5522196,0
Chanturia Mariam,13634488,0
Chua Jia En Cherie,5834791,0
Enkhriikhen Nyamdorj,4921089,0
Ferjani Nourcine,5529131,0
Galmidi Ester,2853060,0
Gegia Tamar,13637053,0
Giorgadze Mariam,13636839,0
Kuka Riziki,10831053,0
Kvirkvelia Anastasia,13636430,0
