,upset_score,tournament_id,left_fide_id,left_rtg,right_fide_id,right_rtg,location,medium,time_control
24,0.0,670407,1341332,2202,13710427,2467,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
24,0.0,670407,1341332,2202,13710427,2467,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
24,0.0,670407,1341332,2202,13710427,2467,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
24,0.0,670407,1341332,2202,13710427,2467,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
24,0.0,670407,1341332,2202,13710427,2467,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
24,0.0,670407,1341332,2202,13710427,2467,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
24,0.0,670407,1341332,2202,13710427,2467,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
24,0.0,670407,1341332,2202,13710427,2467,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
24,0.0,670407,1341332,2202,13710427,2467,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
25,0.0,670407,1185080,2465,2827951,2201,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
26,131.0,670407,5710413,2189,46622373,2451,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
26,131.0,670407,5710413,2189,46622373,2451,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
26,131.0,670407,5710413,2189,46622373,2451,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
26,131.0,670407,5710413,2189,46622373,2451,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
27,0.0,670407,7704224,2449,7905637,2188,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
28,0.0,670407,14408740,2181,2917173,2449,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
28,0.0,670407,14408740,2181,2917173,2449,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
29,0.0,670407,5094160,2446,2839135,2175,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
29,0.0,670407,5094160,2446,2839135,2175,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
29,0.0,670407,5094160,2446,2839135,2175,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
29,0.0,670407,5094160,2446,2839135,2175,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
29,0.0,670407,5094160,2446,2839135,2175,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
29,0.0,670407,5094160,2446,2839135,2175,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
29,0.0,670407,5094160,2446,2839135,2175,Cala Gonone - Dorgali (NU),offline,90'/40 moves + 30' + 30'' bonus
