,medium,time_control,age_diff,home_country_diff,rating_diff,players_sex,upset
250,offline,standard,4,-1,239.0,MM,1
251,offline,standard,-2,-1,335.0,MM,0
252,offline,standard,13,-1,230.0,MM,1
253,offline,standard,-18,-1,201.0,MM,0
254,offline,standard,9,-1,276.0,MM,1
255,offline,standard,21,0,416.0,MM,1
256,offline,standard,-31,1,401.0,MM,0
257,offline,standard,10,-1,381.0,MM,0
258,offline,standard,-6,-1,331.0,MM,0
259,offline,standard,1,1,300.0,MM,0
260,offline,standard,-7,1,325.0,MM,0
261,offline,standard,-1,-1,335.0,MM,1
262,offline,standard,-35,0,367.0,MM,0
263,offline,standard,-16,-1,582.0,MM,0
264,offline,standard,-20,0,579.0,MM,0
265,offline,standard,-20,1,581.0,MM,0
266,offline,standard,-34,0,349.0,MM,0
267,offline,standard,-11,-1,430.0,MM,1
268,offline,standard,-14,0,400.0,MM,1
269,offline,standard,9,0,368.0,MM,0
270,offline,standard,-28,-1,236.0,MM,0
271,offline,standard,29,0,296.0,MM,0
272,offline,standard,19,0,289.0,MM,1
273,offline,standard,13,0,304.0,MM,1
274,offline,standard,39,1,232.0,MM,0
275,offline,standard,-12,-1,315.0,MM,0
276,offline,standard,28,0,234.0,MM,0
277,offline,standard,-1,0,428.0,MM,1
278,offline,standard,-18,0,352.0,MM,0
279,offline,standard,-8,-1,335.0,MM,1
280,offline,standard,-16,1,295.0,MM,0
281,offline,standard,11,-1,205.0,MM,1
282,offline,standard,1,0,544.0,MM,1
283,offline,standard,-13,0,431.0,MM,0
284,offline,standard,-29,-1,273.0,MM,0
285,offline,standard,-32,0,616.0,MM,0
286,offline,standard,30,-1,480.0,MM,0
287,offline,standard,-9,0,285.0,MM,0
288,offline,standard,-21,-1,213.0,MM,1
289,offline,standard,12,1,212.0,MM,1
290,offline,standard,3,1,255.0,MM,0
291,offline,standard,-28,0,317.0,MM,0
292,offline,standard,9,0,324.0,MM,1
293,offline,standard,5,-1,554.0,MM,0
294,offline,standard,24,1,436.0,MM,0
295,offline,standard,-1,-1,476.0,MM,1
296,offline,blitz,8,-1,440.0,MM,0
297,offline,blitz,16,0,582.0,MM,0
298,offline,blitz,19,1,293.0,MF,0
299,offline,blitz,2,-1,486.0,MM,0
300,offline,blitz,16,0,583.0,MM,0
301,offline,blitz,3,0,564.0,MM,0
302,offline,blitz,8,0,453.0,MM,0
303,offline,blitz,-5,-1,428.0,MM,0
304,offline,blitz,-27,-1,339.0,MM,0
305,offline,blitz,-23,-1,467.0,FM,0
306,offline,blitz,-8,0,273.0,MM,0
307,offline,blitz,17,0,460.0,MM,1
308,offline,blitz,34,-1,381.0,MM,0
309,offline,blitz,-35,-1,342.0,FM,0
310,offline,blitz,-9,1,477.0,MM,0
311,offline,blitz,1,0,318.0,MM,0
312,offline,blitz,15,0,319.0,MM,0
313,offline,blitz,-1,-1,272.0,FM,1
314,offline,blitz,39,0,482.0,MM,0
315,offline,blitz,1,-1,598.0,MM,0
316,offline,blitz,15,0,355.0,MM,1
317,offline,blitz,9,-1,259.0,MM,1
318,offline,blitz,-4,0,238.0,MM,0
319,offline,blitz,-17,0,226.0,MM,0
320,offline,blitz,-4,-1,320.0,MM,0
321,offline,blitz,0,0,410.0,MM,0
322,offline,blitz,8,-1,587.0,MM,0
323,offline,blitz,10,-1,284.0,MM,0
324,offline,blitz,6,0,526.0,MM,0
325,offline,blitz,8,-1,363.0,MM,0
326,offline,blitz,14,0,250.0,MM,1
327,offline,blitz,11,-1,384.0,MM,1
328,offline,blitz,26,0,203.0,MM,0
329,offline,blitz,27,0,394.0,MM,0
330,offline,blitz,7,1,393.0,MM,0
331,offline,blitz,16,0,357.0,MM,1
332,offline,blitz,23,0,632.0,MM,0
333,offline,blitz,-14,0,385.0,MM,0
334,offline,blitz,31,0,324.0,MF,1
335,offline,blitz,-15,0,323.0,MM,0
336,offline,blitz,12,0,227.0,MM,1
